文件名,目录,类型,字数
1、浣熊行测概述.md,行测学习方法,full,2383
2、技术路线行测速刷.md,行测学习方法,full,2845
3、考试路线行测学习.md,行测学习方法,full,3550
1、中心理解.md,言语理解,full,6061
2、标题填入.md,言语理解,full,3152
3、细节判断.md,言语理解,full,4563
4、语句填空题.md,言语理解,full,2777
5、语句选择.md,言语理解,full,3245
6、语句排序.md,言语理解,full,4857
7、词的辨析.md,言语理解,full,5531
8、语境分析.md,言语理解,full,6021
1. 对称性.md,逻辑推理/1.图形推理,full,4530
10.相同相似性.md,逻辑推理/1.图形推理,full,4437
11.整体和部分数.md,逻辑推理/1.图形推理,full,4117
12.黑白块.md,逻辑推理/1.图形推理,full,6757
2. 旋转、翻转.md,逻辑推理/1.图形推理,full,3533
3. 曲直性.md,逻辑推理/1.图形推理,full,7049
4.开闭性.md,逻辑推理/1.图形推理,full,5905
5. 连接方式.md,逻辑推理/1.图形推理,full,7257
6. 图形叠加.md,逻辑推理/1.图形推理,full,6718
7.笔画数.md,逻辑推理/1.图形推理,full,5286
8.点的数量.md,逻辑推理/1.图形推理,full,4068
9.功能元素.md,逻辑推理/1.图形推理,full,8032
2.空间推理.md,逻辑推理,FAIL,0
3.类比推理.md,逻辑推理,full,5337
1.加强和削弱论证（可能性推理）.md,逻辑推理/4.逻辑判断,full,5703
2.直言命题.md,逻辑推理/4.逻辑判断,full,8280
3.复言命题.md,逻辑推理/4.逻辑判断,full,6732
1.数量分析概述.md,数量分析,full,1694
10.日期&时钟问题.md,数量分析,full,1386
11.年龄问题.md,数量分析,full,935
12.和差倍比问题.md,数量分析,full,3507
13.植树问题.md,数量分析,full,3732
2.数字推理.md,数量分析,full,15033
3.基本公式.md,数量分析,full,1463
3.排列组合.md,数量分析,full,4652
4.四则运算问题.md,数量分析,full,3544
5.大小问题.md,数量分析,full,1793
6.几何问题.md,数量分析,full,3057
7.工程问题.md,数量分析,full,2688
8.浓度问题.md,数量分析,full,6959
9.行程问题.md,数量分析,full,5561
1.什么是资料分析？.md,资料分析,full,3025
2.增长量.md,资料分析,full,6448
3.增长率.md,资料分析,full,7027
4.同比与环比.md,资料分析,full,2026
5.倍数与番数.md,资料分析,full,3665
6.进出口额、贸易顺差、贸易逆差.md,资料分析,full,5544
7.出生率、死亡率、人口自然增长率.md,资料分析,full,5278
8.速算技巧.md,资料分析,full,5845
1.常识概述.md,基本常识,full,2018
2.政治常识.md,基本常识,full,5470
3.法律常识.md,基本常识,full,8189
