文件名,目录,类型,字数
浣熊央国企计算机专业课导学.md,计算机专业课概述,skip,1666
1、数据结构和算法概念.md,数据结构,skip,4150
2、线性表.md,数据结构,skip,8463
3、栈和队列.md,数据结构,skip,12264
4、数组、数组压缩存储与字符串.md,数据结构,skip,7016
5、哈希表（了解）.md,数据结构,skip,2784
1、树和二叉树.md,数据结构/6、树和二叉树,skip,11843
2、森林、树与二叉树的转换.md,数据结构/6、树和二叉树,skip,3583
3、哈夫曼树.md,数据结构/6、树和二叉树,skip,5121
4、BST、AVL树、红黑树、B树、B+树（了解）.md,数据结构/6、树和二叉树,skip,2015
1、图基本概念.md,数据结构/7、图,skip,9935
2、图的最小生成树.md,数据结构/7、图,skip,7439
3、活动网络（AOE）.md,数据结构/7、图,skip,4716
4、图的最短路径.md,数据结构/7、图,skip,5602
8、查找.md,数据结构,skip,3123
9、排序.md,数据结构,skip,8438
1、操作系统基础.md,操作系统,skip,13711
2、进程与线程管理.md,操作系统,skip,42579
3、存储器管理.md,操作系统,skip,21026
4、虚拟内存技术.md,操作系统,skip,13102
5、IO设备管理.md,操作系统,skip,15876
6、文件管理.md,操作系统,skip,13118
7、操作系统安全和保护.md,操作系统,skip,2688
1、计算机网络概念.md,计算机网络,skip,6564
2、计算机网络体系结构.md,计算机网络,skip,15189
3、数据通信基础.md,计算机网络,skip,15757
4、物理层.md,计算机网络,skip,4515
5、数据链路层.md,计算机网络,skip,28074
6、 网络层.md,计算机网络,skip,21958
7、传输层.md,计算机网络,skip,20421
8、会话层、表示层、应用层.md,计算机网络,skip,11890
9、 网络管理与网络安全.md,计算机网络,skip,11427
10、无线网络与移动网络.md,计算机网络,skip,30695
1、计算机系统基础.md,计算机组成原理,skip,14975
2、总线系统.md,计算机组成原理,skip,20030
3、存储器.md,计算机组成原理,skip,62467
4、中断系统.md,计算机组成原理,skip,11889
5、输入输出系统.md,计算机组成原理,skip,32759
6、数制与码制.md,计算机组成原理,skip,24665
7、数据运算.md,计算机组成原理,skip,11470
8、指令系统.md,计算机组成原理,skip,13959
9、CPU功能与结构.md,计算机组成原理,skip,13798
10、控制单元.md,计算机组成原理,skip,15635
11、流水线技术.md,计算机组成原理,skip,10590
12、并行处理系统.md,计算机组成原理,skip,24587
1.软件工程基本概念.md,软件工程,skip,12483
2.软件开发过程管理.md,软件工程,skip,9947
3.软件可行性研究.md,软件工程,skip,5906
4.软件需求分析.md,软件工程,skip,16818
5.软件概要设计.md,软件工程,skip,10999
6.软件详细设计.md,软件工程,skip,9782
7.软件系统开发.md,软件工程,skip,12257
8.软件测试.md,软件工程,skip,16679
9.软件系统维护.md,软件工程,skip,3659
1、数据库基本概念.md,数据库系统,skip,15122
2、关系型数据库基本理论.md,数据库系统,skip,8054
3、关系数据库标准语言SQL.md,数据库系统,skip,20420
4、数据库对象.md,数据库系统,skip,13669
5、数据库安全性.md,数据库系统,skip,10184
6、关系数据理论.md,数据库系统,skip,9291
7、数据库设计与实现.md,数据库系统,skip,7932
8、数据库并发控制.md,数据库系统,skip,16452
9、数据库备份和恢复.md,数据库系统,skip,15442
10、数据库新技术.md,数据库系统,skip,11177
信息新技术.md,,FAIL,0
